Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
online,Workshop on Virtual Labs,"G H Raisoni College of Engg and Mgmt, Wagholi",2015-07-26,25,2,02:00,200
online,Workshop on Virtual Labs,"College of Engineering, Pune",2015-07-29,27,4,01:30,540
online,Workshop on Virtual Labs,"BMS College of Engg, Banglore",2015-09-30,20,3,01:30,300
online,Workshop on Virtual Labs,WIT solapur,2016-04-05,178,4,01:30,800
online,Workshop on Virtual Labs,"Kumaraguru college of technology, Coimbatore",2016-01-30,20,4,01:30,100
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2015-11-21,88,4,02:00,2816
online,Workshop on Virtual Labs,"Govt College of Engineering and Research, Avasari",2015-09-15,19,4,01:30,380
online,Workshop on Virtual Labs,"Govt College of Engineering and Research, Avasari",2016-01-16,25,4,01:30,150
online,Virtual Lab workshop,"Amrapali Group of Institutions, Haldwani, Uttarakhand",2016-02-24,196,8,02:00,6272
online,Virtual Lab workshop,"Dev Bhoomi Institute of Technology, Dehradun, Uttarakhand",2016-02-13,106,4,02:00,3392
online,Virtual Lab workshop,"Dehradun Institute of Technology, Dehradun, Uttarakhand",2016-01-16,57,4,02:00,1824
online,Virtual Lab workshop,"Graphic Era University, Dehradun, Uttarakhand",2015-10-14,303,9,02:00,9696
online,Virtual Lab workshop,"Graphic Era Hill University, Dehradun, Uttarakhand",2015-12-02,178,6,02:00,5696
online,Virtual Lab workshop,"Roorkee College of Engineering, Roorkee, Uttarakhand",2015-10-08,160,4,02:00,5120
online,Virtual Lab workshop,"Sharda University, Greater Noida, Uttar Pradesh",2016-01-22,110,8,01:30,3520
online,Virtual Lab workshop,"Roorkee Institute of Technology, Roorkee, Uttarakhand",2015-10-19,112,4,02:00,3584
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-09-16,244,4,02:00,7808
online,Virtual Lab workshop,"Roorkee Institute of Technology, Roorkee, Uttarakhand",2015-12-10,27,2,02:00,864
online,Virtual Lab workshop,"Roorkee College of Engineering, Roorkee, Uttarakhand",2015-12-01,220,6,02:00,7040
online,Virtual Lab workshop,"Roorkee College of Engineering, Roorkee, Uttarakhand",2015-11-26,300,5,02:00,9600
online,Virtual Lab workshop,"Roorkee College of Engineering, Roorkee, Uttarakhand",2015-11-19,315,4,02:00,10080
online,Virtual Lab workshop,"Chandigarh University, Gharuan, Punjab",2015-08-27,439,8,02:00,14048
online,Virtual Lab workshop,"Women Institute of Technology, Dehradun, Uttarakhand",2015-05-15,44,3,02:00,1408
online,Virtual Lab workshop,"NIT Jalandhar, Jalandhar, Punjab",2015-09-29,493,5,02:00,15776
online,Virtual Lab workshop,"NEHU Shillong, Shillong, Meghalaya",2015-10-30,363,6,02:00,11616
online,Virtual Lab workshop,"DCRUST, Murthal, Haryana",2015-05-25,23,2,02:00,736
online,Virtual Lab workshop,"DCRUST, Murthal, Haryana",2015-06-29,31,2,02:00,992
online,Virtual Lab workshop,"DCRUST, Murthal, Haryana",2015-11-04,281,5,02:00,8992
online,Virtual Lab workshop,"College of Engineering Roorkee, Roorkee, Uttarakhand",2015-09-08,182,4,02:00,5824
online,Virtual Lab workshop,"CMRCET, Hyderabad, Telangana",2015-09-11,221,5,02:00,7072
online,Virtual Lab workshop,"IIT Roorkee, Roorkee, Uttarakhand",2015-04-24,37,4,03:00,1184
online,Virtual Lab workshop,"SGGS, Nanded, Maharashtra",2015-10-13,355,4,02:00,11360
online,Virtual Lab workshop,"SLIET, Longowal, Punjab",2016-01-28,235,4,02:00,7520
online,Virtual Lab workshop,"G B Pant Engineering College, Okhla Phase II, New Delhi",2016-02-12,70,4,02:00,2240
online,Virtual Lab workshop,"NIT Kurukshetra, Haryana",2016-03-09,799,6,02:00,25568
online,Virtual Lab workshop,"UIET, Chandigarh, Punjab",2016-03-18,271,5,02:00,8672
online,Virtual Lab workshop,"College of Engineering Roorkee, Roorkee, Uttarakhand",2016-02-01,160,5,02:00,5120
online,Virtual Lab,"THDC Institute of Hydropwer Engineering and Technology, Bhagirathipuram, Tehri Garhwal Uttarakhand",2016-03-30,140,3,00:45,10
online,Workshop on Virtual Labs,"Army Institute of Technology, Pune",2016-01-14,186,2,01:15,750
online,Trial Workshop,"IIITH, Hyderabad,Telangana",2016-04-29,NULL,2,02:00,NULL
online,Virtual Labs,United College of Engineering and Research Greater Noida,2016-06-17,25,3,01:00,24
online,Virtual Labs,NRI COLLEGE OF ENGINEERING AND AMANGEMENT,2016-04-05,200,3,01:00,1524
online,Virtual Labs,SETH JAI PRAKASH MUKUND LAL INSTITUTE OF ENGINEERING AND TECHNOLGY,2016-04-13,307,4,01:00,18360
online,Virtual Labs,GLOBAL INSTITUTE OF MANAGEMENT AND EMERGING TECHNOLOGIES,2016-04-21,618,4,01:00,5000
online,Virtual Labs,ST SOLIDER INSTITUTE OF PHARMACY AND POLYTECHNIC,2016-04-25,152,4,01:00,245
online,Virtual Labs,SRI BALAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,2016-04-27,108,3,01:00,1500
online,Virtual Labs,INDERPRASTHA ENGINEERING COLLEGE,2016-06-07,76,2,01:00,600
online,DCE81,Dronacharya college of engineering,2016-07-21,NULL,4,01:00,NULL
online,One day workshop on virtual laboratry,"RGCER, Nagpur Maharashtra",2016-07-25,72,2,04:00,3600
online,Shankar - GNITS,G Nayudamma Institute of Technology and Science,2016-10-01,115,1,02:00,2963
online,One day workshop on virtual laboratry,"Central Institute of Technology, Korajhar",2016/08/31,200,1,03:00,10000
online,Analog Signals Network and Measurement Virtual Laboratory,"Dream Institute of Technology, Kolkata",2016-09-07,NULL,1,02:00,NULL
online,One day workshop on virtual laboratry,"RCC Institute of Information Technology, Kolkata",2016/09/09,80,1,03:00,4000
online,virtual labs,hyderabad,2016-04-04,80,1,02:30,1200
online,virtual labs,nalgonda,2016-03-30,100,2,02:30,1500
online,virtual labs,shamshabad,2016-03-28,96,2,02:30,1440
online,virtual labs,shamshabad,2016-03-29,53,1,02:30,795
online,Analog Signals Network and Measurement Virtual Laboratory,"Techno India University,Sector v, Salt Lake, Kolkata, West Bengal",2016-09-09,73,1,02:00,14
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-10-05,145,4,02:00,4640
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-10-21,145,4,03:00,4640
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-10-21,NULL,4,02:00,NULL
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-11-02,144,4,02:00,4608
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-11-19,142,4,02:00,4544
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2015-09-23,120,4,02:00,3840
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-04-11,20,2,03:00,640
online,Virtual Labs Workshop,"K J Somaiya CoE, Mumbai",2016-01-07,480,1,03:00,960
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-04-13,17,2,03:00,544
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-04-18,18,2,03:00,576
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-04-18,15,2,03:00,480
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-04-20,17,2,03:00,544
online,Virtual Lab workshop,"Chandigarh University, Gharuan, Punjab",2016-09-15,220,4,03:00,7040
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Visit IIT Roorkee",2016-09-08,29,2,02:00,928
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2016-09-19,102,2,02:00,3264
online,Virtual Labs Workshop,"Viva institute of Technology, Mumbai",2016-01-08,39,1,03:00,390
online,Virtual Labs Workshop,"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara",2016-01-09,46,1,03:00,278
online,Virtual Labs Workshop,"Thakur College of Science and Commerce, Mumbai",2016-01-12,31,1,03:00,310
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Pune",2016-01-19,244,1,01:00,1871
